Tag,Event Type,Package,Resource ID,Text,Signature,Content Free Signature,Event String
2024-05-20_031617,scroll,ridmik.keyboard,ridmik.keyboard:id/setup_steps_screen,None,[class]android.widget.ScrollView[resource_id]ridmik.keyboard:id/setup_steps_screen[text]None[enabled  ],[class]android.widget.ScrollView[resource_id]ridmik.keyboard:id/setup_steps_screen,ScrollEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=26c7008363df72e7a4e165dbea8d39dc(SetupWizardActivity/ScrollView-)  direction=right)
2024-05-20_031623,touch,ridmik.keyboard,ridmik.keyboard:id/flForFragmentInSetUpActivity,None,[class]android.widget.FrameLayout[resource_id]ridmik.keyboard:id/flForFragmentInSetUpActivity[text]None[enabled  ],[class]android.widget.FrameLayout[resource_id]ridmik.keyboard:id/flForFragmentInSetUpActivity,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=ab8b14c6de60a95412deffde191d0495(SetupWizardActivity/FrameLayout-))
2024-05-20_031629,touch,ridmik.keyboard,ridmik.keyboard:id/flContainer,None,[class]android.widget.FrameLayout[resource_id]ridmik.keyboard:id/flContainer[text]None[enabled  ],[class]android.widget.FrameLayout[resource_id]ridmik.keyboard:id/flContainer,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=065dbf1c264c7b899799363dc82e15bc(SetupWizardActivity/FrameLayout-))
2024-05-20_031635,touch,ridmik.keyboard,ridmik.keyboard:id/setup_title,Setting up Ridmik Keyboard,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_title[text]Setting up Ridmik Keyboard[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_title,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=fd0712eb15eafe0c05246de1621f3b61(SetupWizardActivity/TextView-Setting up))
2024-05-20_031641,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step2_bullet,2,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step2_bullet[text]2[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step2_bullet,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=e63c7eed36bd1f6f480392a4115b817d(SetupWizardActivity/TextView-2))
2024-05-20_031646,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step3_bullet,3,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step3_bullet[text]3[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step3_bullet,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=9db545503bf1fe33b755f3053328f090(SetupWizardActivity/TextView-3))
2024-05-20_031652,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step_indicator,None,[class]android.view.View[resource_id]ridmik.keyboard:id/setup_step_indicator[text]None[enabled  ],[class]android.view.View[resource_id]ridmik.keyboard:id/setup_step_indicator,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=182c7bbb811ee4767b6a7c5361b10972(SetupWizardActivity/View-))
2024-05-20_031658,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step_title,Enable Ridmik Keyboard,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_title[text]Enable Ridmik Keyboard[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_title,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=a11165bdb650c5c8beb6288c72ed7302(SetupWizardActivity/TextView-Enable Rid))
2024-05-20_031704,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step_instruction,"Please check ""Ridmik Keyboard"" in your Languages & input settings. This will authorize it to run on your device.",[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_instruction[text]None[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_instruction,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=f42efc305afa60b1ca0fa404fbbac541(SetupWizardActivity/TextView-Please che))
2024-05-20_031710,touch,ridmik.keyboard,ridmik.keyboard:id/safe,None,[class]android.widget.ImageView[resource_id]ridmik.keyboard:id/safe[text]None[enabled  ],[class]android.widget.ImageView[resource_id]ridmik.keyboard:id/safe,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=6948c467498d1f7cf609e82cd9fdb933(SetupWizardActivity/ImageView-))
2024-05-20_031716,touch,ridmik.keyboard,ridmik.keyboard:id/safe_header,Your data is safe,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/safe_header[text]Your data is safe[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/safe_header,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=c12116cea3982aea08975930ffe4ad73(SetupWizardActivity/TextView-Your data ))
2024-05-20_031722,touch,ridmik.keyboard,ridmik.keyboard:id/safe_content,Ridmik Keyboard does not collect anything that you type. The warning you see during installation is displayed for ALL THIRD-PARTY keyboards from the Android System.,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/safe_content[text]None[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/safe_content,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=9229cdbd7a15d88cc7f0510ae6a2c522(SetupWizardActivity/TextView-Ridmik Key))
2024-05-20_031727,key,NULL,NULL,NULL,NULL,NULL,KeyEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  name=BACK)
2024-05-20_031732,touch,ridmik.keyboard,ridmik.keyboard:id/flForFragmentInSetUpActivity,None,[class]android.widget.FrameLayout[resource_id]ridmik.keyboard:id/flForFragmentInSetUpActivity[text]None[enabled  ],[class]android.widget.FrameLayout[resource_id]ridmik.keyboard:id/flForFragmentInSetUpActivity,TouchEvent(state=2371bafd4739aafaf38e98626243420d  view=ab8b14c6de60a95412deffde191d0495(SetupWizardActivity/FrameLayout-))
2024-05-20_031738,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step_action_label,Enable in Settings,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label[text]Enable in Settings[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=ae304cdcfe57949726ed2c2850e6a19f(SetupWizardActivity/TextView-Enable in ))
2024-05-20_031744,touch,com.android.settings,com.android.settings:id/up,None,[class]android.widget.FrameLayout[resource_id]com.android.settings:id/up[text]None[enabled  ],[class]android.widget.FrameLayout[resource_id]com.android.settings:id/up,TouchEvent(state=626d87ade7ccb9b40dad02bc8802f5b6  view=e73743aea1318b9965cb3f15efd46e15(AvailableVirtualKeyboardActivity/FrameLayout-))
2024-05-20_031750,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step_action_label,Enable in Settings,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label[text]Enable in Settings[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=ae304cdcfe57949726ed2c2850e6a19f(SetupWizardActivity/TextView-Enable in ))
2024-05-20_031756,touch,com.android.settings,None,None,[class]android.widget.LinearLayout[resource_id]None[text]None[enabled  ],[class]android.widget.LinearLayout[resource_id]None,TouchEvent(state=626d87ade7ccb9b40dad02bc8802f5b6  view=0bb7014aaf1370e7fe1cbafa41859920(AvailableVirtualKeyboardActivity/LinearLayout-))
2024-05-20_031801,touch,com.android.settings,com.android.settings:id/enable_mode,Off,[class]android.widget.TextView[resource_id]com.android.settings:id/enable_mode[text]Off[enabled  ],[class]android.widget.TextView[resource_id]com.android.settings:id/enable_mode,TouchEvent(state=626d87ade7ccb9b40dad02bc8802f5b6  view=7be587a8694180b98066ea1434575b8c(AvailableVirtualKeyboardActivity/TextView-Off))
2024-05-20_031808,touch,com.android.settings,com.android.settings:id/head,None,[class]android.widget.LinearLayout[resource_id]com.android.settings:id/head[text]None[enabled  ],[class]android.widget.LinearLayout[resource_id]com.android.settings:id/head,TouchEvent(state=626d87ade7ccb9b40dad02bc8802f5b6  view=2d2f2625ff43deee9af497e33819c086(AvailableVirtualKeyboardActivity/LinearLayout-))
2024-05-20_031814,touch,com.google.android.inputmethod.latin,None,None,[class]android.widget.LinearLayout[resource_id]None[text]None[enabled  ],[class]android.widget.LinearLayout[resource_id]None,TouchEvent(state=ee49dd3dd53efa5341d8fec346711f2d  view=acf711971256b0147ba993e59e84cc6e(SettingsActivity/LinearLayout-))
2024-05-20_031820,touch,com.google.android.inputmethod.latin,None,None,[class]android.widget.ImageButton[resource_id]None[text]None[enabled  ],[class]android.widget.ImageButton[resource_id]None,TouchEvent(state=13630373bd443b118405477a097eda55  view=557235341a48e0394a42296327e74fd4(SettingsActivity/ImageButton-))
2024-05-20_031826,key,NULL,NULL,NULL,NULL,NULL,KeyEvent(state=ee49dd3dd53efa5341d8fec346711f2d  name=BACK)
2024-05-20_031831,key,NULL,NULL,NULL,NULL,NULL,KeyEvent(state=626d87ade7ccb9b40dad02bc8802f5b6  name=BACK)
2024-05-20_031836,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step_action_label,Enable in Settings,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label[text]Enable in Settings[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label,TouchEvent(state=c8804fc44cc43ba71d8d05ac2ef93f27  view=ae304cdcfe57949726ed2c2850e6a19f(SetupWizardActivity/TextView-Enable in ))
2024-05-20_031842,touch,com.android.settings,com.android.settings:id/enable_mode,On,[class]android.widget.TextView[resource_id]com.android.settings:id/enable_mode[text]On[enabled  ],[class]android.widget.TextView[resource_id]com.android.settings:id/enable_mode,TouchEvent(state=626d87ade7ccb9b40dad02bc8802f5b6  view=7179d9586da11156c8eaf63d0a34f736(AvailableVirtualKeyboardActivity/TextView-On))
2024-05-20_031849,touch,com.android.settings,None,None,[class]android.widget.ImageView[resource_id]None[text]None[enabled  ],[class]android.widget.ImageView[resource_id]None,TouchEvent(state=626d87ade7ccb9b40dad02bc8802f5b6  view=f3e9fd44906ffae01c5e8bf519a3131e(AvailableVirtualKeyboardActivity/ImageView-))
